RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Type
0,32,56.1,-1,73,48,19.0,high
0,49,29.6,-1,73,10,56.0,high
0,49,2.5,-1,72,50,52.0,high
0,52,6.1,-1,72,26,6.0,high
0,50,44.7,-1,73,16,5.0,high
0,50,55.8,-1,72,13,55.0,high
0,51,53.0,-1,72,31,45.0,high
0,51,51.4,-1,73,10,38.0,high
0,52,13.9,-1,73,19,13.0,high
0,52,54.0,-1,71,58,8.0,high
0,54,33.4,-1,73,41,4.0,high
0,56,42.3,1,60,43,0.0,high
0,53,55.0,-1,72,26,47.0,high
0,54,36.0,-1,72,4,,high
0,54,56.17,-1,72,26,27.6,high
0,57,48.4,-1,72,2,42.0,high
0,58,12.7,-1,72,30,45.0,high
0,59,11.3,-1,71,38,45.0,high
1,1,1.1,-1,72,6,57.0,high
1,3,13.9,-1,72,9,14.0,high
1,9,6.1,-1,74,44,40.0,high
1,5,8.9,-1,72,11,44.0,high
1,6,15.1,-1,72,5,25.0,high
1,11,8.4,-1,73,16,46.0,high
1,18,2.8,1,65,17,19.0,high
1,18,31.9,1,63,44,24.0,high
1,17,5.2,-1,73,26,35.0,high
1,17,41.4,-1,73,30,49.0,high
1,43,32.6,1,61,6,26.0,high
2,40,31.6,1,61,13,45.0,high
3,34,59.9,1,53,10,23.0,high
3,55,23.0,1,31,2,45.0,high
4,19,46.0,1,55,59,24.0,high
4,40,59.9,1,44,31,51.0,high
5,1,23.9,-1,70,33,33.0,high
5,2,51.6,-1,66,26,25.0,high
5,12,41.8,-1,67,17,23.0,high
5,16,0.1,-1,69,16,9.0,high
5,20,30.3,-1,69,32,4.0,high
5,22,35.2,1,37,40,34.0,high
5,29,48.4,-1,65,56,51.0,high
5,31,13.0,-1,66,7,6.0,high
5,31,36.1,-1,65,18,16.0,high
5,32,49.2,-1,66,22,14.0,high
5,32,25.3,-1,65,35,9.0,high
5,32,32.6,-1,65,51,40.8,high
5,35,5.9,-1,67,0,16.0,high
5,35,40.5,-1,66,51,53.0,high
5,38,54.6,1,26,18,57.0,high
5,35,53.8,-1,65,30,34.0,high
5,38,56.4,-1,64,5,1.0,high
5,39,38.7,-1,69,44,36.0,high
5,41,22.2,-1,69,36,29.0,high
5,41,37.1,-1,68,32,32.0,high
5,44,15.5,-1,66,33,50.0,high
5,44,6.3,-1,71,0,50.0,high
5,55,54.7,1,28,47,6.0,high
6,35,17.4,1,5,33,20.9,high
6,48,4.6,-1,44,18,54.4,high
7,28,53.4,-1,26,6,28.0,high
7,47,23.5,-1,53,19,58.0,high
7,56,15.8,-1,61,5,59.0,high
8,12,28.4,-1,31,14,51.0,high
8,35,55.0,-1,43,11,6.0,high
9,2,6.9,-1,40,33,17.0,high
10,9,46.0,-1,58,17,32.0,high
10,25,56.6,-1,57,48,42.0,high
10,30,22.5,-1,57,4,39.0,high
10,37,35.2,-1,56,47,59.0,high
10,50,7.9,-1,59,53,16.0,high
11,20,57.2,-1,61,54,58.0,high
11,21,15.2,-1,60,37,24.0,high
11,48,0.1,-1,62,12,25.0,high
11,47,28.6,-1,61,57,14.0,high
12,26,37.6,-1,62,46,13.0,high
12,42,1.7,-1,60,12,6.0,high
12,47,35.0,-1,60,38,36.0,high
