Observation_start_date,Observation_start_time,Proposal_ID,Target_ID,RA,Dec,Observation_ID,Proposal_Title,Abstract,Source_Name,Prime_instrument
10-01-2020,01:16:47,T03_231,T01,288.798125,10.945767,T03_231T01_9000003910,Target of Opportunity,ToO,GRS 1915+105,laxpc2
10-02-2020,13:32:02,T03_244,T01,308.063642,37.637456,T03_244T01_9000003912,Target of Opportunity,ToO,EXO 2030+375,sxt
10-05-2020,01:37:26,T03_247,T01,12.08,85.223917,T03_247T01_9000003914,Target of Opportunity,ToO,NGC 188,uvit1
10-05-2020,07:29:44,T03_245,T01,264.495,-37.772,T03_245T01_9000003916,Target of Opportunity,ToO,IGR J17379-3747,laxpc2
10-07-2020,01:05:46,T03_243,T01,295.66935,-10.323492,T03_243T01_9000003918,Target of Opportunity,ToO,NGC 6814,sxt
10/15/2020,20:37:43,C05_013,T06,12.08,85.223917,C05_013T06_9000003920,Calibration,CAL,NGC 188,uvit1
10/16/2020,03:08:43,T03_255,T01,277.673792,-6.754861,T03_255T01_9000003922,Target of Opportunity,ToO,SGR 1830-0645,laxpc2
11-01-2020,05:42:53,C05_019,T04,237.391917,70.348089,C05_019T04_9000003956,Calibration,CAL,Blank Sky-8,laxpc2
11-03-2020,01:53:31,T03_259,T01,11.37,41.902806,T03_259T01_9000003972,Target of Opportunity,ToO,M31N 2008-12a,uvit1
11-03-2020,12:41:11,C05_019,T04,237.391917,70.348089,C05_019T04_9000003974,Calibration,CAL,Blank Sky-8,laxpc2
11-04-2020,04:27:31,T03_257,T01,340.726697,29.712317,T03_257T01_9000003976,Target of Opportunity,ToO,Blank Sky-8,uvit1
11-10-2020,17:43:11,T03_262,T01,11.37,41.902806,T03_262T01_9000003988,Target of Opportunity,ToO,M31N 2008-12a,sxt
11-12-2020,19:11:21,T03_263,T01,84.727393,26.315789000000002,T03_263T01_9000003990,Target of Opportunity,ToO,M31N 2008-12a,laxpc1
11/14/2020,11:05:13,A10_002,T05,11.037,41.557347,A10_002T05_9000004000,ASTROSAT multi-epoch imaging survey of M31: high FUV sensitivity and FUV-variable sources,"M31 is the nearest giant spiral galaxy for which we can study the stellar populations, X-ray sources, and supernova remnants. At a distance of 780 kpc, M31 is far enough away that the brightest stars are safe to observe with UVIT, yet close enough to obtain a good census of the the above populations. The high spatial resolution of UVIT is yielding outstanding data on the stellar populations, X-ray sources and supernova remnants of M31. The multi-wavelength images of M31 is forming a legacy dataset for study of the stellar populations of M31, it star formation history and the structure of the galaxy. For this proposal we are requesting to observe for a second epoch, with UVIT and the X-ray instruments, the bulge and the inner NE spiral arms of M31. The two goals are to obtain significantly higher sensitivity and to identify and study FUV variable sources.",M31 Field No. 2,uvit1
11/16/2020,04:27:40,A10_024,T01,334.9625,-48.711110999999995,A10_024T01_9000004010,ASTROSAT-UVIT follow-up observations of transient J221951-484240,"We request monthly Astrosat FUV monitoring of J221951-484240. Originally this source was a candidate to GW event S190930t, but HST spectroscopy shows this to be a very distant (and bright) source, likely a TDE or new quasar. We request monthly monitoring in two FUV filters for the A10 period. This will compliment our continuing observations by Swift and allow us to follow the slowly evolving spectral evolution from the optical through to the FUV.",GW Candidate Transient,uvit1
